"station_id","occupancy_rate","sessions_count"
"2-39-131-30","0.42928266460905349785","155"
"2-39-139-28","0.39934413580246913557","176"
"2-39-79-379","0.36000038580246913597","89"
"2-39-89-25","0.35582227366255144057","127"
"2-39-91-437","0.35408256172839506187","85"
"2-39-123-23","0.30931532921810699585","89"
"2-39-79-377","0.30012757201646090518","97"
"2-39-129-17","0.29778536522633744874","109"
"2-39-79-380","0.29383333333333333341","81"
"2-39-95-27","0.28327160493827160499","81"
"2-39-127-19","0.26557921810699588478","102"
"2-39-78-366","0.25674382716049382705","84"
"2-39-79-378","0.24112744341563786008","78"
"2-39-79-381","0.23382124485596707824","62"
"2-39-79-383","0.22216833847736625514","66"
"2-39-78-365","0.21085879629629629629","71"
"2-39-92-442","0.20281262860082304515","61"
"2-39-125-21","0.20099678497942386824","83"
"2-39-79-376","0.19595048868312757199","63"
"2-39-130-31","0.18168544238683127558","77"
"2-39-138-29","0.16886046810699588478","81"
"2-39-90-26","0.16675964506172839510","55"
"2-39-78-363","0.16281057098765432094","59"
"2-39-95-444","0.15698443930041152255","52"
"2-39-78-361","0.15048739711934156390","67"
"2-39-78-367","0.14860841049382716062","57"
"2-39-78-364","0.14801658950617283945","49"
"2-39-92-436","0.14035210905349794234","47"
"2-39-124-22","0.12639531893004115238","59"
"2-39-88-438","0.12518942901234567894","35"
"2-39-128-18","0.12488554526748971181","45"
"2-39-88-24","0.12210686728395061736","55"
"2-39-78-360","0.12186869855967078188","53"
"2-39-79-382","0.11581340020576131670","31"
"2-39-83-386","0.11140933641975308647","45"
"2-39-90-440","0.10906725823045267495","39"
"2-39-89-439","0.10269071502057613176","32"
"2-39-78-362","0.08807934670781893004","29"
"2-39-91-441","0.08751131687242798352","29"
"2-39-124-558","0.07147685185185185190","19"
"2-39-126-20","0.06043428497942386827","30"
"2-39-123-557","0.04312577160493827167","16"
"2-39-126-560","0.03201466049382716046","9"
"2-39-138-566","0.02175578703703703700","10"
"2-39-128-562","0.01721720679012345676","5"
"2-39-130-564","0.01078034979423868315","4"
"2-39-127-561","0.00775733024691358028","2"
"2-39-131-565","0.00670961934156378602","2"
"2-39-129-563","0.00663027263374485593","2"
"2-39-139-567","0.00616949588477366250","3"
"2-39-83-387","0.00597775205761316873","5"
"2-39-125-559","0.00207073045267489713","1"
"2-39-82-384","0.00036445473251028807","1"
