connectionTime;disconnectTime;doneChargingTime;kWhDelivered;sessionID;siteID;stationID;spaceID;userID,,,,
Tue, 01 Jan 2019 03:45:49 GMT;Tue, 01 Jan 2019 17:57:23 GMT;Tue, 01 Jan 2019 10:40:45 GMT;43,114;2_39_138_29_2019-01-01 03:45:49.452098;2;2-39-138-29;CA-304;489
Tue, 01 Jan 2019 05:28:34 GMT;Tue, 01 Jan 2019 06:03:12 GMT;Tue, 01 Jan 2019 06:03:06 GMT;3,25;2_39_130_31_2019-01-01 05:28:33.527740;2;2-39-130-31;CA-306;1616
Tue, 01 Jan 2019 17:41:45 GMT;Tue, 01 Jan 2019 18:39:21 GMT;Tue, 01 Jan 2019 18:40:21 GMT;0,9;2_39_138_566_2019-01-01 17:41:44.784919;2;2-39-138-566;CA-512;
Tue, 01 Jan 2019 18:09:17 GMT;Wed, 02 Jan 2019 02:39:32 GMT;Tue, 01 Jan 2019 20:16:10 GMT;12,534;2_39_79_379_2019-01-01 18:09:16.991864;2;2-39-79-379;CA-327;558
Tue, 01 Jan 2019 18:39:25 GMT;Tue, 01 Jan 2019 19:18:49 GMT;Tue, 01 Jan 2019 19:19:47 GMT;0,883;2_39_138_566_2019-01-01 18:39:24.566872;2;2-39-138-566;CA-512;
Tue, 01 Jan 2019 19:18:53 GMT;Tue, 01 Jan 2019 20:14:07 GMT;Tue, 01 Jan 2019 19:59:08 GMT;0,879;2_39_138_566_2019-01-01 19:18:52.843645;2;2-39-138-566;CA-512;
Tue, 01 Jan 2019 21:05:57 GMT;Wed, 02 Jan 2019 02:03:02 GMT;Wed, 02 Jan 2019 01:59:27 GMT;16,136;2_39_79_378_2019-01-01 21:05:56.972890;2;2-39-79-378;CA-326;1135
Tue, 01 Jan 2019 21:08:49 GMT;Tue, 01 Jan 2019 22:52:39 GMT;Tue, 01 Jan 2019 22:17:15 GMT;2,917;2_39_139_28_2019-01-01 21:08:49.264929;2;2-39-139-28;CA-303;838
Tue, 01 Jan 2019 21:10:03 GMT;Wed, 02 Jan 2019 02:03:53 GMT;Wed, 02 Jan 2019 01:18:33 GMT;1,28;2_39_79_377_2019-01-01 21:10:02.892601;2;2-39-79-377;CA-325;
Tue, 01 Jan 2019 22:23:40 GMT;Wed, 02 Jan 2019 00:54:51 GMT;Wed, 02 Jan 2019 00:30:48 GMT;13,273;2_39_125_21_2019-01-01 22:23:40.471724;2;2-39-125-21;CA-311;754
Wed, 02 Jan 2019 13:53:10 GMT;Wed, 02 Jan 2019 22:38:52 GMT;Wed, 02 Jan 2019 19:50:11 GMT;36,608;2_39_127_19_2019-01-02 13:53:10.182304;2;2-39-127-19;CA-309;556
Wed, 02 Jan 2019 15:53:25 GMT;Thu, 03 Jan 2019 00:38:37 GMT;Wed, 02 Jan 2019 19:05:25 GMT;8,855;2_39_79_382_2019-01-02 15:53:25.247434;2;2-39-79-382;CA-491;1001
Wed, 02 Jan 2019 16:12:39 GMT;Thu, 03 Jan 2019 01:06:11 GMT;Wed, 02 Jan 2019 19:10:32 GMT;10,402;2_39_78_361_2019-01-02 16:12:38.806280;2;2-39-78-361;CA-493;1110
Wed, 02 Jan 2019 16:18:36 GMT;Wed, 02 Jan 2019 23:53:56 GMT;Wed, 02 Jan 2019 23:53:52 GMT;46,058;2_39_91_441_2019-01-02 16:18:35.672653;2;2-39-91-441;CA-499;234
Wed, 02 Jan 2019 16:18:56 GMT;Thu, 03 Jan 2019 02:17:39 GMT;Thu, 03 Jan 2019 02:17:34 GMT;39,007;2_39_79_379_2019-01-02 16:18:55.665332;2;2-39-79-379;CA-327;232
